source,trace_id,panel,source_group,time_min,signal,unit,x_uncertainty_min,y_uncertainty,strict_delay_limit_min,relaxed_delay_limit_min,source_url,processing
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,15.5,12.604,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,15.75,12.567499999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,16.0,12.531,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,16.25,12.402000000000001,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,16.5,12.273,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,16.75,12.107,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,17.0,11.941,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,17.25,11.8305,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,17.5,11.72,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,17.75,11.72,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,18.0,11.72,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,18.25,11.8305,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,18.5,11.941,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,18.75,12.1255,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,19.0,12.31,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,19.25,12.531,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,19.5,12.752,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,19.75,12.789000000000001,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,20.0,12.826,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,20.25,12.972999999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,20.5,13.12,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,20.75,13.193999999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,21.0,13.268,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,21.25,13.3785,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,21.5,13.489,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,21.75,13.8205,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,22.0,14.152,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,22.25,14.5945,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,22.5,15.037,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,22.75,15.6265,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,23.0,16.216,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,23.25,16.6585,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,23.5,17.101,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,23.75,17.6535,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,24.0,18.206,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,24.25,18.5745,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,24.5,18.943,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,24.75,19.146,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,25.0,19.349,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,25.25,19.698999999999998,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
