grid,waveform_type,T_min,topology,tau_transport_min,tau_sensor_min,rtd_shape,amplitude_retention,NRMSE,pearson_r,feature_delay_min,feature_definition,aligned_amplitude_retention,aligned_NRMSE,aligned_pearson_r,pass_strict,strict_criterion
primary_1080,pulse,2.0,well_mixed,1.0,1.0,,0.5880652171825103,0.07975852761980735,0.5245738985831165,1.45,peak time,0.5880652171825103,0.03722533023778426,0.9311649348629917,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,1.0,2.0,,0.45131410674971817,0.08625075665716747,0.3949301742803031,1.8500000000000076,peak time,0.45131410674971817,0.04985065923497395,0.8668659877599345,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,1.0,5.0,,0.2652078221929079,0.09011872312684213,0.24677300094330748,2.45,peak time,0.2652078221929079,0.06715283808024342,0.7243702202490337,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,2.0,0.0,,0.5478284481397854,0.06585169147044367,0.68743791498882,0.95,peak time,0.5478284481397854,0.041606344607732514,0.915658729163637,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,2.0,1.0,,0.4513141067497184,0.08625075665716748,0.3949301742803031,1.8500000000000076,peak time,0.4513141067497184,0.049850659234973935,0.866865987759935,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,2.0,2.0,,0.3583146049631142,0.09092741058337556,0.28090047428200343,2.4000000000000075,peak time,0.3583146049631142,0.05855399413180922,0.8005354991389271,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,2.0,5.0,,0.22295489016323597,0.09301074018887903,0.15877218491783524,3.3500000000000076,peak time,0.22295489016323597,0.07136272783136031,0.6668110260978725,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,5.0,0.0,,0.3041539767932543,0.0795258470883755,0.4803339355271612,1.3500000000000076,peak time,0.3041539767932543,0.0638937518650799,0.7634727488505667,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,5.0,1.0,,0.26520782219290806,0.09011872312684216,0.2467730009433072,2.45,peak time,0.26520782219290806,0.06715283808024342,0.724370220249034,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,5.0,2.0,,0.22295489016323622,0.09301074018887905,0.1587721849178349,3.3500000000000076,peak time,0.22295489016323622,0.07136272783136031,0.666811026097872,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,5.0,5.0,,0.15438435106411708,0.0943514734416548,0.06823513745539447,5.2,peak time,0.15438435106411708,0.07855963128627826,0.5538603876127598,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,10.0,0.0,,0.17550968951036108,0.08514720437661959,0.34364458286514704,1.6000000000000076,peak time,0.17550968951036108,0.07570964803718319,0.6163632209558231,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,10.0,1.0,,0.15900316957127367,0.09102430250204664,0.15913115423193275,3.0,peak time,0.15900316957127367,0.07708920699669224,0.5941204043338844,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,10.0,2.0,,0.13981675935538498,0.09283722175843823,0.08986105367017795,4.3,peak time,0.13981675935538498,0.07931350693532783,0.5502313968830913,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,10.0,5.0,,0.10567398240960876,0.09391548946673109,0.018802012495885038,7.100000000000015,peak time,0.10567398240960876,0.08357019192280182,0.4620587353625962,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,well_mixed,15.0,0.0,,0.12364503098457047,0.08716427949640149,0.27532165994322805,1.75,peak time,0.12364503098457047,0.08045389719961954,0.532579257970831,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
