tau_s_min,waveform,T_min,topology,tau_f_min,amplitude_retention,nrmse,pearson_r,feature_delay_min,aligned_amplitude_retention,aligned_nrmse,aligned_pearson_r,pass_strict,pass_shape_only,failed
1.0,ramp,10.0,gamma_rtd,0.08042606,1.0000000000000007,0.024803490508868258,0.9983178956990724,1.1500000000000077,1.0000000000000007,0.003587547008709526,0.9999634097378476,True,True,
1.0,ramp,10.0,gamma_rtd,0.0884468,1.0000000000000009,0.02496535612737094,0.9982960457687459,1.1500000000000077,1.0000000000000009,0.003522648190807389,0.9999646225417465,True,True,
1.0,ramp,10.0,gamma_rtd,0.09726744,1.000000000000001,0.025148175346244205,0.9982711992446032,1.1500000000000077,1.0000000000000009,0.0034574329926862876,0.999965811810419,True,True,
1.0,ramp,10.0,gamma_rtd,0.1,1.0000000000000009,0.025205589743798044,0.9982633593989811,1.1500000000000077,1.0000000000000009,0.0034387989085504314,0.9999661457508842,True,True,
1.0,ramp,10.0,gamma_rtd,0.10696774,1.0000000000000009,0.025353291730690435,0.9982431101215057,1.1500000000000077,1.0000000000000007,0.003395073588219691,0.9999669178921451,True,True,
1.0,ramp,10.0,gamma_rtd,0.11763544,1.0000000000000009,0.02558223198723249,0.9982114934940582,1.1500000000000077,1.0000000000000009,0.0033397423145422062,0.9999678670550084,True,True,
1.0,ramp,10.0,gamma_rtd,0.12936701,1.0000000000000007,0.025836741558438327,0.9981760177009171,1.2,1.0000000000000007,0.003630930408558777,0.9999625747924765,True,True,
1.0,ramp,10.0,gamma_rtd,0.14226855,1.0000000000000007,0.026118814870643877,0.9981362964217241,1.2,1.0000000000000007,0.003517356279094433,0.999964708003928,True,True,
1.0,ramp,10.0,gamma_rtd,0.15645673,1.0000000000000007,0.02643071944742419,0.9980918807272967,1.2,1.0000000000000007,0.0034159832913977727,0.9999665333310974,True,True,
1.0,ramp,10.0,gamma_rtd,0.17205988,1.000000000000001,0.026775018005837602,0.998042250378659,1.2,1.000000000000001,0.0033363451846433207,0.999967896463249,True,True,
1.0,ramp,10.0,gamma_rtd,0.1892191,1.0000000000000004,0.027154587245776626,0.9979868043984664,1.25,1.0000000000000004,0.003559571753124568,0.9999639149219941,True,True,
1.0,ramp,10.0,gamma_rtd,0.20808957,1.0000000000000007,0.027572638512189777,0.9979248499746606,1.25,1.0000000000000007,0.0034229170845334117,0.9999663911337252,True,True,
1.0,ramp,10.0,gamma_rtd,0.22884197,1.0000000000000007,0.028032739171077653,0.9978555896025826,1.3000000000000076,1.0000000000000007,0.003671884843907627,0.9999617741882533,True,True,
1.0,ramp,10.0,gamma_rtd,0.25,1.0000000000000009,0.02850193588722496,0.9977838013749245,1.3000000000000076,1.0000000000000009,0.003495146726092817,0.999965084146033,True,True,
1.0,ramp,10.0,gamma_rtd,0.25166396,1.0000000000000009,0.028538834024843078,0.9977781062739416,1.3000000000000076,1.0000000000000009,0.00348371418431521,0.9999652901524472,True,True,
1.0,ramp,10.0,gamma_rtd,0.27676195,1.0000000000000009,0.029095271975407736,0.99769134556453,1.3000000000000076,1.0000000000000009,0.003359232344546264,0.9999674348284894,True,True,
1.0,ramp,10.0,gamma_rtd,0.30436292,1.000000000000001,0.029706832485207307,0.9975940950032018,1.35,1.000000000000001,0.0034886929347120064,0.9999651601977192,True,True,
1.0,ramp,10.0,gamma_rtd,0.33471648,1.0000000000000009,0.030378755698090586,0.9974849596336406,1.4000000000000077,1.0000000000000009,0.003662426553964246,0.9999619097640285,True,True,
1.0,ramp,10.0,gamma_rtd,0.36809714,1.0000000000000009,0.031116775044971946,0.9973623333450664,1.4000000000000077,1.0000000000000009,0.0034461635143036495,0.9999658520702728,True,True,
1.0,ramp,10.0,gamma_rtd,0.4048068,1.0000000000000009,0.03192715190299231,0.9972243653525913,1.45,1.0000000000000009,0.0035454206093677833,0.9999640357365912,True,True,
1.0,ramp,10.0,gamma_rtd,0.44517744,1.0000000000000009,0.03281671107910387,0.9970689212552352,1.5,1.0000000000000009,0.0036432544536378836,0.9999621727035122,True,True,
1.0,ramp,10.0,gamma_rtd,0.48957418,1.0000000000000007,0.03379287991549029,0.996893537297398,1.5500000000000076,1.0000000000000007,0.003723416425720116,0.9999605921911905,True,True,
1.0,ramp,10.0,gamma_rtd,0.5,1.0000000000000009,0.03402178478609064,0.9968516838859953,1.5500000000000076,1.0000000000000009,0.003651782061822437,0.999961945552225,True,True,
1.0,ramp,10.0,gamma_rtd,0.53839852,1.0000000000000007,0.03486372573834215,0.9966953677347474,1.6,1.0000000000000007,0.0037744586483818635,0.9999595254565058,True,True,
1.0,ramp,10.0,gamma_rtd,0.59209203,1.0000000000000007,0.03603799624876365,0.9964711233812755,1.6500000000000077,1.0000000000000007,0.0037960116849422316,0.99995902478824,True,True,
1.0,ramp,10.0,gamma_rtd,0.65114029,1.0000000000000004,0.03732515691478474,0.9962170011799452,1.7,1.0000000000000004,0.0037930248480516396,0.9999589575751971,True,True,
1.0,ramp,10.0,gamma_rtd,0.71607733,1.0000000000000009,0.03873542894289252,0.9959286028252835,1.75,1.0000000000000009,0.0037873351851665602,0.999958881084906,True,True,
1.0,ramp,10.0,gamma_rtd,0.75,1.0000000000000007,0.03946990885110453,0.9957742811400846,1.8000000000000076,1.0000000000000007,0.003920762163016513,0.9999561995657653,True,True,
1.0,ramp,10.0,gamma_rtd,0.78749042,1.0000000000000009,0.040279822262994154,0.9956008421279385,1.85,1.0000000000000009,0.004059680956617495,0.9999532520148301,True,True,
1.0,ramp,10.0,gamma_rtd,0.8660254,1.0000000000000007,0.041970164882440965,0.9952278395001364,1.9000000000000077,1.0000000000000007,0.003996892679683268,0.9999542665988349,True,True,
1.0,ramp,10.0,gamma_rtd,0.95239254,1.000000000000001,0.0438191249407335,0.9948028029988388,2.0,1.000000000000001,0.004201541220362474,0.9999497137059155,True,True,
1.0,ramp,10.0,gamma_rtd,1.0,1.0000000000000009,0.0448337861321121,0.9945620090455775,2.0500000000000074,1.0000000000000007,0.004295265973747896,0.9999475137498983,True,True,
1.0,ramp,10.0,gamma_rtd,1.04737292,1.0000000000000007,0.04584022104702108,0.9943178958458623,2.1,1.0000000000000007,0.004392360495750876,0.9999451676655419,True,True,
1.0,ramp,10.0,gamma_rtd,1.15182551,1.0000000000000007,0.04804781953813101,0.9937640900983253,2.2,1.0000000000000007,0.004558108449579475,0.9999409080900735,True,True,
1.0,ramp,10.0,gamma_rtd,1.26669498,1.0000000000000009,0.05045711279857035,0.9931310078346993,2.3000000000000074,1.0000000000000009,0.004719855733971978,0.9999364283472462,True,True,
1.0,ramp,10.0,gamma_rtd,1.39302016,1.0000000000000007,0.05308406901513912,0.9924067534477234,2.45,1.0000000000000007,0.0051063294827926224,0.999926162571815,True,True,
1.0,ramp,10.0,gamma_rtd,1.53194353,1.0000000000000009,0.05594535167084566,0.9915777403077152,2.6,1.0000000000000009,0.005493093640870988,0.999914901178003,False,True,delay
1.0,ramp,10.0,gamma_rtd,1.68472147,1.0000000000000009,0.059058191639523965,0.9906285215989161,2.75,1.0000000000000009,0.005848802488502059,0.9999035496576166,False,True,delay
1.0,ramp,10.0,gamma_rtd,1.85273568,1.0000000000000009,0.062440207615942454,0.9895416351407246,2.9000000000000075,1.0000000000000009,0.006197052683477701,0.9998914067272091,False,True,delay
