time_min,c_true,c_measured_device_A,c_measured_device_B,lod_au
85.25,0.996638,0.988512,0.725984,0.10
85.50,0.995164,0.990229,0.730474,0.10
85.75,0.993426,0.991687,0.734882,0.10
86.00,0.991426,0.992884,0.739204,0.10
86.25,0.989166,0.993820,0.743438,0.10
86.50,0.986649,0.994494,0.747581,0.10
86.75,0.983878,0.994905,0.751630,0.10
87.00,0.980856,0.995051,0.755582,0.10
87.25,0.977586,0.994934,0.759434,0.10
87.50,0.974072,0.994553,0.763185,0.10
87.75,0.970318,0.993908,0.766831,0.10
88.00,0.966328,0.993001,0.770369,0.10
88.25,0.962107,0.991833,0.773799,0.10
88.50,0.957660,0.990404,0.777117,0.10
88.75,0.952990,0.988717,0.780322,0.10
89.00,0.948105,0.986773,0.783410,0.10
89.25,0.943008,0.984574,0.786381,0.10
89.50,0.937705,0.982124,0.789233,0.10
89.75,0.932203,0.979424,0.791963,0.10
90.00,0.926507,0.976478,0.794571,0.10
90.25,0.920623,0.973290,0.797054,0.10
90.50,0.914558,0.969862,0.799412,0.10
90.75,0.908317,0.966198,0.801643,0.10
91.00,0.901908,0.962304,0.803745,0.10
91.25,0.895338,0.958182,0.805719,0.10
91.50,0.888612,0.953837,0.807562,0.10
91.75,0.881738,0.949275,0.809275,0.10
92.00,0.874723,0.944500,0.810856,0.10
92.25,0.867574,0.939518,0.812306,0.10
92.50,0.860298,0.934333,0.813622,0.10
92.75,0.852903,0.928951,0.814806,0.10
93.00,0.845394,0.923379,0.815857,0.10
93.25,0.837781,0.917622,0.816775,0.10
93.50,0.830070,0.911685,0.817560,0.10
93.75,0.822268,0.905576,0.818212,0.10
94.00,0.814383,0.899301,0.818731,0.10
94.25,0.806422,0.892865,0.819118,0.10
94.50,0.798392,0.886276,0.819373,0.10
94.75,0.790300,0.879541,0.819497,0.10
95.00,0.782154,0.872666,0.819490,0.10
95.25,0.773961,0.865657,0.819354,0.10
95.50,0.765728,0.858523,0.819089,0.10
95.75,0.757461,0.851269,0.818697,0.10
96.00,0.749169,0.843904,0.818177,0.10
96.25,0.740856,0.836433,0.817533,0.10
96.50,0.732531,0.828864,0.816764,0.10
96.75,0.724200,0.821204,0.815873,0.10
97.00,0.715869,0.813461,0.814861,0.10
97.25,0.707545,0.805641,0.813729,0.10
97.50,0.699233,0.797751,0.812479,0.10
97.75,0.690940,0.789798,0.811113,0.10
98.00,0.682673,0.781790,0.809633,0.10
98.25,0.674435,0.773733,0.808041,0.10
98.50,0.666234,0.765635,0.806338,0.10
98.75,0.658075,0.757501,0.804527,0.10
99.00,0.649963,0.749339,0.802610,0.10
99.25,0.641903,0.741155,0.800589,0.10
99.50,0.633900,0.732956,0.798466,0.10
99.75,0.625958,0.724749,0.796243,0.10
100.00,0.618083,0.716539,0.793923,0.10
100.25,0.610279,0.708334,0.791509,0.10
100.50,0.602549,0.700138,0.789002,0.10
100.75,0.594899,0.691958,0.786405,0.10
101.00,0.587331,0.683800,0.783721,0.10
101.25,0.579850,0.675669,0.780952,0.10
101.50,0.572458,0.667571,0.778101,0.10
101.75,0.565160,0.659511,0.775171,0.10
102.00,0.557958,0.651495,0.772163,0.10
102.25,0.550855,0.643528,0.769081,0.10
102.50,0.543853,0.635614,0.765927,0.10
102.75,0.536955,0.627758,0.762704,0.10
103.00,0.530164,0.619965,0.759414,0.10
103.25,0.523482,0.612239,0.756061,0.10
103.50,0.516910,0.604584,0.752647,0.10
103.75,0.510450,0.597004,0.749174,0.10
104.00,0.504104,0.589503,0.745645,0.10
104.25,0.497873,0.582084,0.742064,0.10
104.50,0.491759,0.574752,0.738432,0.10
104.75,0.485761,0.567509,0.734753,0.10
105.00,0.479883,0.560358,0.731028,0.10
105.25,0.474123,0.553303,0.727261,0.10
105.50,0.468482,0.546345,0.723453,0.10
105.75,0.462962,0.539488,0.719609,0.10
106.00,0.457561,0.532733,0.715730,0.10
106.25,0.452282,0.526084,0.711818,0.10
106.50,0.447122,0.519541,0.707876,0.10
106.75,0.442082,0.513107,0.703908,0.10
107.00,0.437162,0.506783,0.699914,0.10
107.25,0.432362,0.500571,0.695897,0.10
107.50,0.427680,0.494472,0.691861,0.10
107.75,0.423117,0.488487,0.687806,0.10
108.00,0.418671,0.482617,0.683736,0.10
108.25,0.414341,0.476863,0.679652,0.10
108.50,0.410127,0.471225,0.675557,0.10
108.75,0.406028,0.465704,0.671453,0.10
109.00,0.402041,0.460301,0.667342,0.10
109.25,0.398167,0.455015,0.663225,0.10
109.50,0.394404,0.449847,0.659106,0.10
109.75,0.390749,0.444796,0.654985,0.10
110.00,0.387203,0.439863,0.650866,0.10
110.25,0.383763,0.435047,0.646749,0.10
110.50,0.380428,0.430347,0.642636,0.10
110.75,0.377196,0.425763,0.638530,0.10
