theta_min,through,wick,fmc,chrono,accum
67.5,0.000000,0.001206,0.000043,0.000000,0.008330
68.0,0.000000,0.001166,0.000043,0.000000,0.008330
68.5,0.000000,0.001127,0.000043,0.000000,0.008330
69.0,0.000000,0.001089,0.000043,0.000000,0.008330
69.5,0.000000,0.001053,0.000043,0.000000,0.008330
70.0,0.000000,0.001018,0.000043,0.000000,0.008330
70.5,0.000000,0.000984,0.000043,0.000000,0.008330
71.0,0.000000,0.000951,0.000043,0.000000,0.008330
71.5,0.000000,0.000919,0.000043,0.000000,0.008330
72.0,0.000000,0.000889,0.000043,0.000000,0.008330
72.5,0.000000,0.000859,0.000000,0.000000,0.008330
73.0,0.000000,0.000830,0.000000,0.000000,0.008330
73.5,0.000000,0.000802,0.000000,0.000000,0.008330
74.0,0.000000,0.000775,0.000000,0.000000,0.008330
74.5,0.000000,0.000749,0.000000,0.000000,0.008330
75.0,0.000000,0.000724,0.000000,0.000000,0.008330
75.5,0.000000,0.000700,0.000000,0.000000,0.008330
76.0,0.000000,0.000676,0.000000,0.000000,0.008330
76.5,0.000000,0.000654,0.000000,0.000000,0.008330
77.0,0.000000,0.000632,0.000006,0.000000,0.008330
77.5,0.000000,0.000610,0.000006,0.000000,0.008330
78.0,0.000000,0.000590,0.000006,0.000000,0.008330
78.5,0.000000,0.000570,0.000006,0.000000,0.008330
79.0,0.000000,0.000551,0.000006,0.000000,0.008330
79.5,0.000000,0.000532,0.000006,0.000000,0.008330
80.0,0.000000,0.000514,0.000006,0.000000,0.008330
80.5,0.000000,0.000497,0.000006,0.000000,0.008330
81.0,0.000000,0.000480,0.000006,0.000000,0.008330
81.5,0.000000,0.000464,0.000006,0.000000,0.008330
82.0,0.000000,0.000448,0.000006,0.000000,0.008330
82.5,0.000000,0.000433,0.000006,0.000000,0.008330
83.0,0.000000,0.000418,0.000006,0.000000,0.008330
83.5,0.000000,0.000404,0.000006,0.000000,0.008330
84.0,0.000000,0.000390,0.000006,0.000000,0.008330
84.5,0.000000,0.000377,0.000006,0.000000,0.008330
85.0,0.000000,0.000364,0.000006,0.000000,0.008330
85.5,0.000000,0.000352,0.000006,0.000000,0.008330
86.0,0.000000,0.000340,0.000006,0.000000,0.008330
86.5,0.000000,0.000328,0.000006,0.000000,0.008330
87.0,0.000000,0.000317,0.000006,0.000000,0.008330
87.5,0.000000,0.000306,0.000000,0.000000,0.008330
88.0,0.000000,0.000296,0.000000,0.000000,0.008330
88.5,0.000000,0.000286,0.000000,0.000000,0.008330
89.0,0.000000,0.000276,0.000000,0.000000,0.008330
89.5,0.000000,0.000267,0.000000,0.000000,0.008330
90.0,0.000000,0.000258,0.000000,0.000000,0.008330
90.5,0.000000,0.000249,0.000000,0.000000,0.008330
91.0,0.000000,0.000240,0.000000,0.000000,0.008330
91.5,0.000000,0.000232,0.000000,0.000000,0.008330
92.0,0.000000,0.000224,0.000000,0.000000,0.008330
92.5,0.000000,0.000216,0.000000,0.000000,0.008330
93.0,0.000000,0.000209,0.000000,0.000000,0.008330
93.5,0.000000,0.000202,0.000000,0.000000,0.008330
94.0,0.000000,0.000195,0.000000,0.000000,0.008330
94.5,0.000000,0.000188,0.000000,0.000000,0.008330
95.0,0.000000,0.000182,0.000000,0.000000,0.008330
95.5,0.000000,0.000176,0.000000,0.000000,0.008330
96.0,0.000000,0.000170,0.000000,0.000000,0.008330
96.5,0.000000,0.000164,0.000000,0.000000,0.008330
