time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
6.500000,0.0005509640,0.0000928530,0.0000455904,10,5,1,cstr
6.550000,0.0005766388,0.0000974112,0.0000478954,10,5,1,cstr
6.600000,0.0006034265,0.0001021796,0.0000503103,10,5,1,cstr
6.650000,0.0006313710,0.0001071671,0.0000528400,10,5,1,cstr
6.700000,0.0006605180,0.0001123830,0.0000554896,10,5,1,cstr
6.750000,0.0006909148,0.0001178371,0.0000582643,10,5,1,cstr
6.800000,0.0007226103,0.0001235393,0.0000611697,10,5,1,cstr
6.850000,0.0007556550,0.0001295002,0.0000642115,10,5,1,cstr
6.900000,0.0007901012,0.0001357305,0.0000673957,10,5,1,cstr
6.950000,0.0008260031,0.0001422416,0.0000707284,10,5,1,cstr
7.000000,0.0008634167,0.0001490451,0.0000742161,10,5,1,cstr
7.050000,0.0009023998,0.0001561532,0.0000778656,10,5,1,cstr
7.100000,0.0009430122,0.0001635785,0.0000816837,10,5,1,cstr
7.150000,0.0009853158,0.0001713340,0.0000856778,10,5,1,cstr
7.200000,0.0010293743,0.0001794333,0.0000898553,10,5,1,cstr
7.250000,0.0010752538,0.0001878903,0.0000942240,10,5,1,cstr
7.300000,0.0011230225,0.0001967197,0.0000987922,10,5,1,cstr
7.350000,0.0011727508,0.0002059366,0.0001035682,10,5,1,cstr
7.400000,0.0012245112,0.0002155566,0.0001085608,10,5,1,cstr
7.450000,0.0012783788,0.0002255958,0.0001137790,10,5,1,cstr
7.500000,0.0013344312,0.0002360712,0.0001192324,10,5,1,cstr
7.550000,0.0013927481,0.0002470001,0.0001249307,10,5,1,cstr
7.600000,0.0014534120,0.0002584005,0.0001308841,10,5,1,cstr
7.650000,0.0015165080,0.0002702910,0.0001371031,10,5,1,cstr
7.700000,0.0015821237,0.0002826911,0.0001435988,10,5,1,cstr
7.750000,0.0016503497,0.0002956207,0.0001503824,10,5,1,cstr
7.800000,0.0017212791,0.0003091004,0.0001574657,10,5,1,cstr
7.850000,0.0017950080,0.0003231518,0.0001648610,10,5,1,cstr
7.900000,0.0018716355,0.0003377971,0.0001725810,10,5,1,cstr
7.950000,0.0019512636,0.0003530590,0.0001806387,10,5,1,cstr
8.000000,0.0020339974,0.0003689614,0.0001890477,10,5,1,cstr
8.050000,0.0021199452,0.0003855288,0.0001978222,10,5,1,cstr
8.100000,0.0022092184,0.0004027865,0.0002069768,10,5,1,cstr
8.150000,0.0023019318,0.0004207608,0.0002165265,10,5,1,cstr
8.200000,0.0023982036,0.0004394788,0.0002264871,10,5,1,cstr
8.250000,0.0024981553,0.0004589684,0.0002368749,10,5,1,cstr
8.300000,0.0026019119,0.0004792587,0.0002477065,10,5,1,cstr
8.350000,0.0027096022,0.0005003794,0.0002589994,10,5,1,cstr
8.400000,0.0028213585,0.0005223616,0.0002707717,10,5,1,cstr
8.450000,0.0029373168,0.0005452370,0.0002830418,10,5,1,cstr
8.500000,0.0030576170,0.0005690385,0.0002958293,10,5,1,cstr
8.550000,0.0031824030,0.0005938003,0.0003091538,10,5,1,cstr
8.600000,0.0033118224,0.0006195573,0.0003230362,10,5,1,cstr
8.650000,0.0034460272,0.0006463458,0.0003374977,10,5,1,cstr
8.700000,0.0035851731,0.0006742031,0.0003525604,10,5,1,cstr
8.750000,0.0037294206,0.0007031678,0.0003682471,10,5,1,cstr
8.800000,0.0038789338,0.0007332795,0.0003845814,10,5,1,cstr
